EPIC PASS ROSTER,,"2024-25 blackout dates: 11/28-29 | 12/26-31 | 1/18 | 2/15-16
2025-26 blackout dates: TBD",,,,
,,"Days shared between: Vail/Beaver Creek/Whistler (Epic Local) | Park City/Crested Butte/Vail/Beaver Creek/Breckenridge/Keystone 
(Tahoe Local) | Fernie/Kicking Horse/Kimberley/Nakiska/Mont-Sainte Anne/Stoneham | Andermatt-Sedrun/Disentis | All Nagano 
ski areas",,,,
LOCATION,MOUNTAIN,"LIFT-
SERVED
VERTICAL
DROP 
(Feet)","LIFT-
SERVED
SKIABLE
ACRES","AVERAGE
ANNUAL
SNOWFALL 
(inches)",OWNER,"PASS ACCESS: U=unlimited acces | 3/5/7/10=3/5/7/10 days | 
B=blackouts apply | M=midweek access only | Sa=no Saturday 
access | C=must use days consecutively | 
Lo=lodging requirement | 25=valid summer 25 | S=shared 
dates | A=Access starting 4/1 only | NE=Northeast | L=Local 
Pass | V=Value Pass"
Australia,Falls Creek,"1,247","1,112",157,Vail Resorts,Epic U25
,Hotham,"1,296",605,118,Vail Resorts,Epic U25
,Perisher,"1,165","3,076",190,Vail Resorts,Epic U25
Canada - Alberta,Nakiska,"2,412","1,021",100,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
Canada - British Columbia,Fernie,"3,550","2,500",360,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Kicking Horse,"4,314","3,400",288,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Kimberley,"2,465","1,800",156,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Whistler,"5,280","8,171",404,Vail Resorts,Epic U | Local 10SB | Day All
Canada - Quebec,Mont-Sainte Anne,"2,050",547,209,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
,Stoneham,"1,132",336,169,Resorts of the Canadian Rockies,Epic 7 | Day All 4+
Europe - Austria,Ski Arlberg,"5,056",304 km,355,Independent,Epic 3CLo
Europe - France,Les 3 Vallées,"6,988",600 km,N/A,Compagnie des Alps,Epic 7C
Europe - Italy,Skirama Dolomiti,"5,689",150 km,110,Independent,Epic 7C
Europe - Switzerland,Andermatt-Sedrun,"5,269",120 km,263,Vail Resorts,Epic U | Local 5S | Day All
,Crans-Montana,"5,518",N/A,117,Vail Resorts,Epic U | Local 5 | Day All
,Disentis,N/A,N/A,263,Independent,Epic U | Local 5S | Day All
,Verbier 4 Vallées,"8,232",410 km,240,Independent,Epic/Local 5C
Japan (Hokkaido),Rusutsu,"1,949","1,378",600,Independent,Epic/Local 5C
Japan (Nagano),Able Hakuba Goryu,"2,382",N/A,433,Independent,Epic/Local 5SC
,Hakuba 47,"2,605",N/A,472,Independent,Epic/Local 5SC
,Hakuba Cortina,"1,739",124,472,Independent,Epic/Local 5SC
,Hakuba Happo-One,"3,514",544,461,Independent,Epic/Local 5SC
,Hakuba Iwatake,"1,768",297,433,Independent,Epic/Local 5SC
,Hakuba Norikura,"1,969",N/A,433,Independent,Epic/Local 5SC
,Hakuba Sanosaka,"1,214",N/A,394,Independent,Epic/Local 5SC
,Jiigatake,899,N/A,N/A,Independent,Epic/Local 5SC
,Kashimayari,"2,362",193,374,Independent,Epic/Local 5SC
,Tsugaike,"2,966",484,512,Independent,Epic/Local 5SC
U.S. - California,Heavenly,"3,500","4,800",360,Vail Resorts,Epic U | Local UB | Tahoe L UB | Tahoe V UB | Day All/32
,Kirkwood,"2,000","2,300",354,Vail Resorts,Epic U | Local UB | Tahoe L UB | Tahoe V UBSa | Day All/32
,Northstar,"2,280","3,170",350,Vail Resorts,Epic U | Local UB | Tahoe L UB | Tahoe V UBSa | Day All/32
U.S. - Colorado,Beaver Creek,"3,340","2,082",325,Vail Resorts,Epic U | Local 10SB | Tahoe L 5SB | Day All
,Breckenridge,"3,398","2,908",355,Vail Resorts,Epic/Local U | Tahoe L 5SB | Summit V UB | Key+ A | Day All
,Crested Butte,"2,775","1,547",234,Vail Resorts,Epic/Local U | Tahoe L 5SB | Key+ 5B | Day All/32
,Keystone,"3,128","3,149",235,Vail Resorts,Epic/Local U | Tahoe L 5SB | Summit V U | Key+ UB | Day All/32
,Telluride,"3,790","2,000",280,Independent,Epic 7 | Day All 4+
,Vail Mountain    ,"3,450","5,317",354,Vail Resorts,Epic U | Local 10SB | Tahoe L 5SB | Day All
U.S. - Indiana,Paoli Peaks,300,65,18,Vail Resorts,Epic/Local U | Day All/32/22
U.S. - Michigan,Mount Brighton,230,130,60,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
U.S. - Minnesota,Afton Alps,350,300,60,Vail Resorts,Epic/Local U | Day All/32/22
U.S. - Missouri,Hidden Valley,320,65,19,Vail Resorts,Epic/Local U | Day All/32/22
,Snow Creek,300,35,20,Vail Resorts,Epic/Local U | Day All/32/22
U.S. - New Hampshire,Attitash,"1,750",311,120,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Crotched,"1,016",100,65,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Mount Sunapee,"1,510",233,130,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Wildcat,"2,112",225,200,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
U.S. - New York,Hunter,"1,600",320,120,Vail Resorts,Epic/Local U | NE V UB | NE M UMB | Day All/32
U.S. - Ohio,Alpine Valley,264,72,120,Vail Resorts,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22
,Boston Mills,264,40,54,Vail Resorts,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22
,Brandywine,240,40,54,Vail Resorts,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22
,Mad River,300,144,36,Vail Resorts,Epic/Local/NE V/Ohio U | NE M UM | Day All/32/22
U.S. - Pennsylvania,Big Boulder,475,55,50,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Hidden Valley PA,470,110,140,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Jack Frost,600,100,50,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Laurel,761,70,41,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Liberty,620,100,31,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Roundtop,600,103,30,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Seven Springs,754,285,135,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
,Whitetail,935,109,40,Vail Resorts,Epic/Local/NE V U | NE M UM | All/32/22
U.S. - Utah,Park City,"3,226","7,300",355,Vail Resorts,Epic U | Local UB | Tahoe L 5SB | Day All
U.S. - Vermont,Mount Snow,"1,700",601,150,Vail Resorts,Epic/Local U | NE V UB | NE M UMB | Day All/32
,Okemo,"2,200",632,120,Vail Resorts,Epic/Local U | NE V UB | NE M UMB | Day All/32
,Stowe,"2,360",485,314,Vail Resorts,Epic U | Local UB | NE V 10B | NE M 5MB | Day All/32
U.S. - Washington,Stevens Pass,"1,800","1,125",460,Vail Resorts,Epic/Local U | Day All/32/22
U.S. - Wisconsin,Wilmot,194,120,48,Vail Resorts,Epic/Local U | Day All/32/22